Site004,Azorella_aretioides,sample,cushion.open,Azorella_pedunculata,Baccharis_caespitosa,Bartsia_stricta,Cerastium_floccosum,Chuquiraga_jussieui,Draba_aretioides,Erigeron_ecuadoriensis,Gentiana_sedifolia,Hypochaeris_sessiliflora,Lucilia_kunthiana,Lupinus_microphyllus,Luzula_racemosa,Myrosmodes_sp,Nototriche_hartwegii,Oreomyrrhis_andicola,Pernettya_prostrata,Ranunculus_peruvianus,Senecio_canescens,Senecio_nivalis,PoaUnk_sp,Valeriana_alypifolia,Valeriana_rigida,Werneria_nubigena,Werneria_pumila
,,81,cushion,,,,1,,1,,,,,,,,,,,,,,5,,,,
,,82,cushion,,2,,1,,,,,5,,,,,,,,,,,6,,,,
,,83,cushion,1,,,,,,,,1,,,3,,,,,,,,16,,,,
,,84,cushion,,1,,,,,2,1,5,,,1,,,,,,,,9,,,,
,,85,cushion,,,,,,,4,,1,,,7,,,1,,,,,4,,,,
,,1,open,,2,,1,,1,,,1,,,,,,,,,,,3,,,2,1
,,2,open,,5,,,,,,,,,,,,,,,,,,1,,,,
,,3,open,,,,1,,,,,,,,,,,,,,,,2,,,,
,,4,open,,2,,,,,,,,,2,1,,,,,,,,0,,,,1
,,5,open,,5,,,,,,,,,,3,,,,,,,,1,,,,
,,6,open,,5,,,,,,,,,,1,,,6,,,,,6,,,,
,,7,open,,2,,,,1,,,1,,,,,,,,,,,0,,,,
,,8,open,,2,,,,,,,,,,2,,,,,,,,0,,,,
,,9,open,,2,,,,,,,,,,,,,,,,,,2,,,,
,,10,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,11,open,,,,1,,,,,,,,1,,,,,,,,1,,,,
,,12,open,,,,,,,,,,,,,,,,,,,,1,,,,
,,13,open,,,,1,,,2,,,,,,,,,,,,,1,3,,,
,,14,open,,,,,,,,,,,,,,,,,,,,2,,,,
,,15,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,16,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,17,open,,1,,,1,,,,,,,,,,,,,,,0,,,,
,,18,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,19,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,20,open,,,,,,,,,,,,,,,,,,,,1,,,,
,,21,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,22,open,,1,,,,1,1,,,,,,,,,,,,,3,,,,1
,,23,open,,2,,5,,,1,1,1,,1,2,,,,,,,8,3,,,1,1
,,24,open,,,,1,,,,,,,,,,,,,,,,4,,,,
,,25,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,26,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,27,open,,,,,,,,,,,,,,,,,,,1,1,,,,
,,28,open,,1,,1,,,,,1,,,,,,,,,,,2,,,,
,,29,open,,2,,,,,,,,,,,,,,,,,,1,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,31,open,,,,2,,,,,3,,,,,,,,,,,2,,,,
,,32,open,,1,,,,,,,,,,,,,,,,,,0,,,,
,,33,open,,2,,,,,,,,,,8,,,,,,,,6,,,,
,,34,open,,,,,,,,,,,,,,,,,,,,3,,,,
,,35,open,,,,,,,,,,,,,,,,,1,,3,0,,,,
,,36,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,37,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,38,open,,,,,,,,,,,1,,,,,,,1,,2,,,1,1
,,39,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,40,open,,,,,,,,,,,,,,1,,,,,,0,,,,
,,41,open,,1,,,,,,,,,,,,,,,,,,0,,,,
,,42,open,,6,,1,,,,,1,,,,,,,,,,,1,,,,
,,43,open,,3,,,,,,,2,,,2,,,,,,,,1,,,,
,,44,open,,,,1,,,,,,,,,,,,,,,,2,,,,
,,45,open,,1,,,,,,,,,,,,,,,,,,3,,,,
,,46,open,,1,,,,,,,,,,2,,,,,,,,4,,,,
,,47,open,,6,,1,,,,,,,,,,,,,,,,3,,,2,
,,48,open,,,,2,,,,,2,,,1,,,,,,,,6,,,,
,,49,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,50,open,,4,2,3,,,,,,,,,,,,,,,,10,,,,
,,51,open,,2,,,,,,,,,,,,,,,,,,0,,,,2
,,52,open,,3,,,,,,,,,,,,,,,,,,0,,,,
,,53,open,,2,,,,,,,,,,,,,,,,,,3,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,2,,,,
,,55,open,,,,1,,,,,,,,,,,,,,,,3,,,,1
,,56,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,57,open,,6,,,,,,,,,,,,,,,,,,2,,,1,2
,,58,open,,2,,1,,,,,,,,,,,,,,,,0,,,,
,,59,open,,5,,,,,,,,,,,,,,,,,,0,,,,
,,60,open,,10,,,,,,,,,,,,,,,,,,12,,,6,
,,61,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,1,,,,
,,63,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,64,open,,2,,,,,,,,,,,,,,,,,,1,,,,
,,65,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,66,open,,,,,,,,,,,,,,,,4,,,,0,,,,
,,67,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,68,open,,1,,,,,,,,,,,,,,,,,,1,,,,
,,69,open,,4,,,,,,,,,,,,,,,,,,2,,,,3
,,70,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,72,open,,,,,,,,,,,,,,,,,,,,0,,,,
,,73,open,,1,,,,,,,2,,,,,,,,,,6,1,,,,
,,74,open,,2,,,,,,,2,,,,,1,,,,,,5,,,,5
,,75,open,,4,,,,2,,5,4,,,,,,,,,,,36,,,,4
,,76,open,,,,,,,,,,,,,,,,,,,5,0,,,,1
,,77,open,,7,,,,,,,,,,,,,,,,,,6,,,,
,,78,open,,5,,2,,,,,,,,,,,,,,,,7,,,,
,,79,open,,4,,,,,,,,,,,,,,,,,4,0,,,,
,,80,open,,,,,,,,,1,,,,,,,,,,,1,,,,
,,81,open,,,,3,,,,,,,,,,,,,,,,0,,,,
,,82,open,,3,,,,,,,,,,1,,,,,,,,4,,,,
,,83,open,,1,,,,2,,,,,,3,,,,,,,,4,,,3,
,,84,open,,4,,,,1,,,,,,,,,,,,,,1,,,,
,,85,open,,,,,,,,,,,,,,,,,,,,1,,,,
